Artist diversity:
beyonce-knowles 0.2562096774193548
50-cent 0.42464824120603006
conway-twitty 0.19315492957746472
bill-anderson 0.22160944206008598
emmylou-harris 0.2193540051679586
bone-thugs-n-harmony 0.480861423220974
barry-manilow 0.1966399999999999
carole-king 0.2087346938775508
carly-simon 0.21208955223880593
ferlin-husky 0.1877124183006535
game 0.4486217008797656
ernest-tubb 0.19815436241610732
amy-grant 0.20939024390243902
e-40 0.45492647058823504
erasure 0.208804780876494
elvis-presley 0.17494475138121565
eddy-arnold 0.18419627749576992
frank-sinatra 0.18417266187050363
fall 0.2594836956521737
flaming-lips 0.16024390243902445
eric-clapton 0.16592190889370925
avril-lavigne 0.19570281124498004
bruce-springsteen 0.2789980353634578
bon-jovi 0.24798955613577026
chumbawamba 0.23222222222222214
esham 0.40175999999999973
david-bowie 0.22571929824561407
dancing-with-the-stars 0.18176258992805766
chris-brown 0.28906050955414053
fabolous 0.42255725190839716
bjrthrk 0.1791561181434598
fleetwood-mac 0.15300300300300296
die-toten-hosen 0.1689196675900277
dmx 0.4067025089605737
2pac 0.471389645776567
bing-crosby 0.20376518218623485
dolly-parton 0.21323924731182786
buck-owens 0.19130030959752325
alan-jackson 0.21679856115107918
alabama 0.2196376811594203
beatles 0.1531971153846154
alice-cooper 0.23202492211837994
donna-summer 0.21145038167938937
bad-religion 0.2756810631229235
britney-spears 0.21152334152334154
the-byrds 0.1903968253968255
chris-rea 0.17905982905982915
beck 0.22876971608832797
electric-light-orchestra 0.19639769452449568
aretha-franklin 0.1978723404255317
backstreet-boys 0.20945378151260516
bee-gees 0.20746192893401041
bob-dylan 0.2716275167785232
boyz-ii-men 0.21535714285714275
genesis 0.25360169491525414
ella-fitzgerald 0.19017513134851136
aerosmith 0.22098360655737706
ac-dc 0.219126984126984
b-b-king 0.17384898710865537
babyface 0.23340599455040847
andrea-bocelli 0.1928523489932886
don-williams 0.19394927536231865
celine-dion 0.2687592592592596
band 0.2301811594202899
atmosphere 0.4693388429752065
chris-de-burgh 0.23888888888888887
drake 0.3735656836461125
ani-difranco 0.278169014084507
dusty-springfield 0.19415807560137457
billie-holiday 0.17419047619047612
eels 0.18174468085106396
bill-monroe 0.18318548387096772
gary-numan 0.15295081967213117
elvis-costello 0.2640996168582376
the-cure 0.1937878787878788
chicago 0.1771258907363422
chamillionaire 0.4538383838383837
blues-traveler 0.25685714285714295
barbra-streisand 0.2212026359143327
american-idol 0.2123591549295775
akon 0.2937728937728938
bobby-bare 0.2227272727272728
christina-aguilera 0.22664150943396225
beastie-boys 0.27762452107279684
eminem 0.47119377162629783
beach-boys 0.19103030303030324
connie-smith 0.19162629757785463
bette-midler 0.22889705882352931
barenaked-ladies 0.23945054945054936
chris-ledoux 0.2863404255319149
charley-pride 0.20146825396825394
elton-john 0.23405325443786973
church 0.25362500000000004
depeche-mode 0.17749999999999996
cher 0.21105442176870737
frank-zappa 0.2466083150984683
cliff-richard 0.2018006430868167
busta-rhymes 0.4699657534246574
blondie 0.22709558823529416
diana-ross 0.19806532663316562
duran-duran 0.24177419354838714
dean-martin 0.17837499999999987
